,id,name,artist_name
0,0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes
1,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes
2,3TAhWtQnpoL5Vl9VQPl9fU,Senorita,Shankar-Ehsaan-Loy
3,3BVgrFWuH01GmCUy9Y2EE8,Señorita,Camila Cabello
4,0q6boCcLaWYPIy2vOsksFg,Senorita,(G)I-DLE
5,02Ps4oiQyqHATLcyhWs86a,Señorita,Various Artists
6,5A8z3NF3WltcQGLfbF6R6g,Señorita - Acoustic,Kurt Hugo Schneider
7,1I809lyn7JtvE9YSACG3XL,Senorita (Remix By Dj Shiva),Shankar-Ehsaan-Loy
8,5aibUXUPitJo8oSjSiokwS,Senorita,VAV
9,71MEWIf4Itr8Pd9OW5Mq7q,Hola Señorita,Maître Gims
10,44ETcHYUz11q8QbqcgSwL6,Hola Señorita - Robin Schulz Remix,Maître Gims
11,5QsLLTjQAQp3GKaFEU6rfg,Señorita,Kurt Hugo Schneider
12,5x4kz1Da2r0Lw2h4ugJIrq,Señorita,Fadi Kod
13,35obLwcYdzHV0SmTYAVjIZ,Señorita,Boyce Avenue
14,3Tr1go8VXvaqy9FDPyB2CB,Señorita,Tony Soleno
15,5lF8bXtaRQUbihd9l6KB7Q,Señorita,Camila Cabello
16,0aj2QKJvz6CePykmlTApiD,Señorita,Justin Timberlake
17,7HXxEU5M1UHsvGwnTvGgVx,Senorita Carmelo,King a Lion
18,21hNuzWAtNjYxf2J8Kvegi,Señorita - Circo Soledad En Vivo,Ricardo Arjona
19,5ieJsMQd0Rfb1IhFCIniW5,Señorita (Piano Arrangement),The Theorist
20,2q0V50aNlI1RQXJyE5HDgD,"Odhani (From ""Made in China"")",Sachin-Jigar
21,2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA
22,0VhKdIMXZ3INkyDoIyPy5l,"The Naari Naari Song (From ""Made in China"")",Sachin-Jigar
23,6pe0FG3XseFHT3SaaMw5M5,"Valam (From ""Made in China"")",Sachin-Jigar
24,5274I4mUMnYczyeXkGDWZN,Fine China,Future
25,0nelifxxjcih085mvTkDLy,"Sanedo (From ""Made in China"")",Sachin-Jigar
26,7u5B4ptccyg8T7NPfByhE7,Tere Naina,Various Artists
27,5CgMQh6AknBXyyh0RHgLSw,Super Girl From China,Kanika Kapoor
28,72HdutlIHBZJ7WT1xVAAZT,Kajra Re,Shankar-Ehsaan-Loy
29,7FROOyFNVDaTbnnBcghUXL,Chak Lein De,Various Artists
30,6NVGAoLnJaooF97t8Kgs78,Made in India,Alisha Chinai
31,3E0D36S3MKA9e3f8yCOFR3,"Chak Lein De (From ""Chandni Chowk To China"")",Kailash Kher
32,4swWvAyrM9ZurdsR4qR5YI,Valam,Sachin-Jigar
33,0rbbqMKtmEAFv5bdmQdWqr,Chinatown,Kali
34,6Niy4LfcTcvJJkzfLz5W1B,Touch Me,Pritam
35,1bBqaSKg9EdC70V7fT7r9F,Bebo,Anu Malik
36,5X1xYBfQgr2ZFnKKxVqUwP,Dil Tu Hi Bataa,Rajesh Roshan
37,4bPF3oy4JsKK1UeMMn7Byf,Aaj Ki Raat,Shankar-Ehsaan-Loy
38,1qowUCis8gYY9KOMuy8fCi,Made In China,Higher Brothers
39,5YUq5FuN8aqerS9C2Vq1Kx,Odhani,Sachin-Jigar
40,0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),Ariana Grande
