,id,name,artist_name
0,35obLwcYdzHV0SmTYAVjIZ,Señorita,Boyce Avenue
1,3Lf6jI337k06ZmJt0FiCmI,Chinatown,Crash Midnight
2,3taIcgVjePRzkdz0ZmJbOi,Boyfriend #2,Pleasure P
3,6J7WMB5GII6pEOzy687jhO,Beautiful People (feat. Khalid) - NOTD Remix,Ed Sheeran
4,7xbuHCKBnxK6EJGwvD98Xt,Goodbyes,Steady NY$e
5,1SbMoPxVg1vZJw2w8YVoKq,I DON'T CARE,Quadeca
6,1Pijqwn32fmbV6EbsKgd11,Ransom,Fame on Fire
7,7xsr2OppItxPB4whucYr2G,How Do You Sleep? - Remastered 2010,John Lennon
8,2YYO2IuGe6dI9Lv3mpeUWo,Old Town Road (Remix),Workout Music 
9,5w4enr0FN8ZTwxmfnACz2f,Bad Guy,anders
10,4LZOC4i7Ec2FoxMU9QCiEC,Callaita,Tomy DJ
11,0En1EpZbqvtGwjHtJs8hpc,Loco Contigo - Remix,Dj Doraemon
12,1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi
13,1U8luPfmct3IsHFZ3N96GQ,Otro Trago (Remix) - English Version,Ralph Larenzo
14,5ndpp3ihIJkegE72YCNrgD,Money In The Grave - Instrumental,DJ Boomin
15,70gSDNZxq8K5LcYQwZPWWj,No Guidance (Instrumental),i-genius
16,2VcqC6yERb9v5UimqOmMCh,La Cancion del Emperador - Remastered,Andres Segovia Torres
17,0wt9RjddODlWDetpuaXfRK,"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]",Post Malone
18,1MTcKYcmD96wCg2WwwQjtb,LALALA,TWICE
19,2pkGKBnv5SRNgFNDBVZIil,Truth Hurts - Instrumental,INST
20,3WEifRfQ9VwQ3x7bp5sgCo,Piece Of Your Heart - CYA Remix,MEDUZA
21,1SpItvF1vZYOuH52K5S7AF,Panini Pua Kea,Israel Kamakawiwo'ole
22,7AxIUTibISfXcqpacAKvPo,No Me Conoce - Remix,Jhay Cortez
23,4Tb28rtfvLtFeDIZl5MIIE,Soltera Va - Remix,DJ Alex
24,5w4enr0FN8ZTwxmfnACz2f,Bad Guy,anders
25,24mEsJJhJeManXMz28UkNR,If I Can't Have You,Bee Gees
26,3wX0UpTmocEQl3hbXP1Jke,Dance Monkey,Albertis Lammana
27,6pm3SR1vvrV54AOJWsN7y7,It's You,Sam Kim
28,1AzYTUiiwdAyLvmYEkAKF2,Con Calma,Athe
29,1BZAvrgWIllBz54SW5AMGM,Qué Pretendes,Nous Nizzy
30,5WXitbfcWuQQkHbZY7EPbE,Takeaway,K3DNO
